iter	RMSE
0	14.99176852
1	14.60655947
2	14.22824727
3	13.85124922
4	13.50388294
5	13.1751246
6	12.86937626
7	12.59564908
8	12.31807671
9	12.02591852
10	11.75200908
11	11.51377206
12	11.29825077
13	11.04711144
14	10.80453382
15	10.5604065
16	10.34427207
17	10.1451993
18	9.935508417
19	9.736094883
20	9.563550836
21	9.389111809
22	9.209433953
23	9.045697555
24	8.885741927
25	8.754460514
26	8.601630471
27	8.475875546
28	8.349570797
29	8.224426093
30	8.100015165
31	7.989940566
32	7.875239076
33	7.763895218
34	7.653862248
35	7.558618989
36	7.457371482
37	7.367638677
38	7.284317782
39	7.2086134
40	7.122741526
41	7.04957927
42	6.970893306
43	6.904667115
44	6.836328795
45	6.775787366
46	6.711625651
47	6.655347701
48	6.595754895
49	6.541098993
50	6.492218181
51	6.433064342
52	6.385918554
53	6.337318585
54	6.287673801
55	6.247016416
56	6.208005332
57	6.166438894
58	6.12705326
59	6.095614933
60	6.060951092
61	6.028412601
62	5.993188571
63	5.959149598
64	5.927959224
65	5.901915927
66	5.875459883
67	5.847507655
68	5.821498552
69	5.793488157
70	5.769429567
71	5.745173851
72	5.725637858
73	5.701913522
74	5.682737193
75	5.663122841
76	5.646746735
77	5.626153952
78	5.6108836
79	5.594195138
80	5.582863365
81	5.566656833
82	5.550135343
83	5.537239314
84	5.527921214
85	5.510750714
86	5.503811193
87	5.491100057
88	5.475172709
89	5.457526699
90	5.445323472
91	5.432665079
92	5.42589801
93	5.414123195
94	5.40051063
95	5.390620169
96	5.381688296
97	5.373773622
98	5.365221005
99	5.354822102
100	5.344268451
101	5.329526231
102	5.320846892
103	5.313370573
104	5.304556736
105	5.295440374
106	5.286732014
107	5.274524481
108	5.266923028
109	5.257993535
110	5.247803458
111	5.238951119
112	5.233500813
113	5.228202905
114	5.22335164
115	5.214628044
116	5.205248494
117	5.19857647
118	5.190961736
119	5.184224983
120	5.17802155
121	5.170094558
122	5.16220366
123	5.15245845
124	5.148755043
125	5.143706416
126	5.135258672
127	5.128697284
128	5.123920671
129	5.120895792
130	5.115939684
131	5.110741769
132	5.10572672
133	5.100958718
134	5.097358655
135	5.095017576
136	5.091541793
137	5.086945211
138	5.077468984
139	5.069505672
140	5.065111147
141	5.058787112
142	5.05503939
143	5.05208842
144	5.046333756
145	5.043439432
146	5.04012932
147	5.036519474
148	5.03187152
149	5.024470507
150	5.021486202
151	5.017720966
152	5.013075063
153	5.009235268
154	5.007657797
155	5.001840981
