iter	Passed	Remaining
0	137	137763
1	139	69626
2	140	46846
3	142	35408
4	143	28610
5	152	25220
6	155	22022
7	156	19418
8	161	17833
9	163	16181
10	165	14895
11	167	13800
12	168	12818
13	170	12013
14	172	11354
15	174	10762
16	176	10197
17	177	9695
18	179	9245
19	180	8841
20	181	8481
21	183	8153
22	184	7847
23	186	7567
24	187	7317
25	189	7113
26	196	7096
27	199	6909
28	200	6714
29	201	6526
30	203	6352
31	204	6193
32	206	6047
33	207	5904
34	209	5769
35	210	5638
36	212	5525
37	213	5407
38	215	5299
39	216	5197
40	218	5102
41	219	5016
42	221	4923
43	222	4832
44	223	4750
45	225	4672
46	226	4596
47	228	4525
48	229	4457
49	231	4389
50	232	4325
51	233	4260
52	235	4206
53	237	4159
54	238	4105
55	240	4051
56	241	4000
57	243	3949
58	244	3898
59	245	3849
60	247	3805
61	248	3759
62	249	3713
63	250	3668
64	251	3624
65	253	3581
66	254	3543
67	255	3506
68	257	3467
69	258	3431
70	259	3394
71	260	3362
72	262	3328
73	263	3296
74	264	3263
75	265	3230
76	266	3199
77	268	3171
78	269	3140
79	270	3110
80	271	3077
81	272	3051
82	273	3026
83	275	2998
84	275	2968
85	276	2942
86	277	2913
87	278	2890
88	280	2868
89	281	2845
90	282	2823
91	283	2800
92	284	2774
93	285	2754
94	287	2735
95	288	2715
96	289	2692
97	290	2672
98	291	2654
99	292	2635
100	294	2617
101	295	2598
102	296	2580
103	297	2563
104	299	2549
105	300	2532
106	301	2516
107	302	2499
108	304	2485
109	305	2471
110	306	2455
111	307	2439
112	308	2424
113	310	2412
114	311	2399
115	312	2384
116	314	2370
117	315	2355
118	316	2343
119	317	2331
120	319	2318
121	320	2305
122	321	2292
123	322	2280
124	324	2268
125	325	2255
126	326	2243
127	327	2231
128	328	2220
129	330	2208
130	331	2196
131	332	2184
132	333	2172
133	334	2161
134	335	2150
135	337	2140
136	338	2133
137	340	2123
138	341	2115
139	342	2106
140	344	2097
141	345	2087
142	346	2077
143	347	2068
144	349	2059
145	350	2050
146	351	2040
147	352	2031
148	354	2026
149	356	2018
150	357	2009
151	358	2000
152	359	1991
153	361	1983
154	361	1973
155	363	1964
156	364	1956
157	365	1950
158	367	1943
159	369	1937
160	370	1929
161	371	1922
162	373	1916
163	374	1909
164	376	1903
165	377	1896
166	379	1890
167	380	1883
168	381	1876
169	382	1869
170	384	1862
171	385	1854
172	386	1848
173	387	1840
174	388	1832
175	389	1825
176	391	1818
177	392	1811
178	393	1804
179	394	1798
180	396	1791
181	397	1785
182	398	1779
183	399	1772
184	401	1766
185	402	1761
186	403	1755
187	405	1750
188	406	1744
189	407	1739
190	409	1733
191	410	1729
192	412	1723
193	413	1717
194	414	1711
195	416	1706
196	417	1703
197	419	1698
198	420	1692
199	422	1688
200	423	1684
201	425	1679
202	426	1674
203	428	1671
204	429	1667
205	431	1662
206	432	1657
207	433	1652
208	435	1649
209	437	1644
210	438	1639
211	439	1634
212	441	1630
213	442	1625
214	443	1620
215	445	1616
216	446	1611
217	448	1607
218	449	1603
219	450	1598
220	453	1599
221	456	1599
222	459	1602
223	461	1597
224	462	1594
225	463	1589
226	465	1584
227	466	1579
228	467	1574
229	468	1569
230	470	1565
231	471	1560
232	472	1556
233	474	1551
234	475	1548
235	477	1545
236	478	1540
237	479	1536
238	481	1531
239	482	1528
240	484	1524
241	485	1520
242	486	1515
243	487	1511
244	489	1508
245	490	1504
246	492	1501
247	494	1499
248	496	1496
249	497	1491
250	498	1487
251	500	1484
252	501	1480
253	503	1477
254	504	1473
255	506	1470
256	507	1467
257	508	1463
258	510	1459
259	511	1456
260	513	1452
261	514	1449
262	515	1445
263	517	1442
264	519	1439
265	520	1437
266	522	1433
267	523	1431
268	525	1427
269	526	1424
270	528	1420
271	529	1417
272	530	1413
273	532	1411
274	534	1408
275	535	1405
276	537	1403
277	539	1400
278	540	1396
279	542	1394
280	543	1390
281	545	1387
282	546	1384
283	547	1381
284	549	1378
285	550	1374
286	552	1371
287	553	1368
288	555	1366
289	556	1363
290	558	1359
291	559	1356
292	561	1353
293	562	1350
294	563	1347
295	565	1344
296	566	1340
297	567	1337
298	569	1334
299	570	1331
300	571	1327
301	573	1324
302	574	1321
303	576	1318
304	577	1315
305	578	1311
306	579	1308
307	581	1306
308	582	1303
309	584	1300
310	585	1297
311	587	1294
312	588	1292
313	589	1288
314	591	1285
315	592	1282
316	593	1279
317	595	1276
318	596	1273
319	597	1270
320	599	1267
321	600	1265
322	602	1261
323	603	1258
324	604	1255
325	605	1252
326	607	1249
327	608	1246
328	609	1243
329	611	1241
330	612	1238
331	613	1235
332	615	1232
333	617	1230
334	618	1228
335	619	1225
336	621	1222
337	623	1220
338	624	1218
339	626	1215
340	627	1212
341	629	1211
342	631	1208
343	632	1205
344	633	1202
345	634	1199
346	636	1197
347	637	1194
348	638	1191
349	639	1188
350	641	1185
351	642	1183
352	643	1180
353	645	1177
354	646	1174
355	647	1171
356	649	1168
357	650	1166
358	651	1163
359	652	1160
360	654	1158
361	655	1155
362	656	1152
363	658	1149
364	659	1147
365	660	1144
366	662	1142
367	663	1139
368	664	1136
369	665	1133
370	667	1131
371	668	1128
372	670	1126
373	671	1123
374	672	1121
375	674	1118
376	675	1116
377	676	1113
378	678	1112
379	680	1110
380	681	1107
381	683	1105
382	684	1103
383	686	1101
384	687	1098
385	689	1096
386	690	1094
387	692	1091
388	693	1089
389	694	1086
390	695	1084
391	697	1082
392	699	1079
393	700	1077
394	701	1074
395	702	1072
396	704	1069
397	705	1067
398	707	1065
399	708	1062
400	709	1060
401	712	1059
402	713	1057
403	715	1054
404	716	1052
405	717	1050
406	719	1047
407	720	1045
408	721	1043
409	723	1041
410	724	1038
411	726	1036
412	727	1034
413	729	1032
414	731	1030
415	732	1027
416	733	1025
417	735	1023
